,Name,Address,Suburb,Postcode,State,Business Category,LGA,Region,long,lat
0,Ararat Seasonal Farmers' Market,Lakeside Gardens,Ararat,3377.0,VIC,Fresh Food Market,Ararat (RC),Grampians Region,142.95691599999998,-37.231524
1,Bairnsdale Farmers Market,Secondary College Oval,Bairnsdale,3875.0,VIC,Fresh Food Market,East Gippsland,Gippsland,147.561112,-37.670456
2,Ballarat Lakeside Farmers' Market,Wendouree Parade,Wendouree,3355.0,VIC,Fresh Food Market,Ballarat (C),Grampians Region,143.82561,-37.530285
3,Bendigo Farmers' Market,Bendigo Showgrounds,Bendigo,3550.0,VIC,Fresh Food Market,Greater Bendigo (C),Loddon-Mallee Region,144.285267,-36.764269
4,Big Sams St Albans Market,3 St Albans Road,St Albans,3021.0,VIC,Fresh Food Market,Brimbank (C),North and West Metropolitan Region,144.796693,-37.743361
5,Boroondara Farmers' Market,Patterson Reserve,Hawthorn East,3123.0,VIC,Fresh Food Market,Boroondara (C),Eastern Metropolitan Region,145.04941499999998,-37.829752
6,Bundoora Park Farmers' Market,Bundoora Park,Preston,3072.0,VIC,Fresh Food Market,Darebin (C),North and West Metropolitan Region,145.005702,-37.742470000000004
7,Buninyong Farmers Market,Buninyong Town Hall (May to Dec),Buninyong,3357.0,VIC,Fresh Food Market,Ballarat (C),Grampians Region,143.88341599999998,-37.653945
8,Camberwell Fresh Food Market,Camberwell Junction,Camberwell,3124.0,VIC,Fresh Food Market,Boroondara (C),Eastern Metropolitan Region,145.06819099999998,-37.840866999999996
9,Cardinia Ranges Farmers Market,Pakenham Racecourse,Pakenham,3810.0,VIC,Fresh Food Market,Cardinia (S),Southern Metropolitan Region,145.472514,-38.04658
10,Casey Farmers' Market,Old Cheese Factory,Berwick,3806.0,VIC,Fresh Food Market,Casey (C),Southern Metropolitan Region,145.34948799999998,-38.025017999999996
11,Central Geelong Farmers' Market,Little Malop Street,Geelong,3220.0,VIC,Fresh Food Market,Greater Geelong (C),Barwon South Western Region,144.34652,-38.157038
12,Central Murray Farmers Market,Altona Reserve,Echuca,3564.0,VIC,Fresh Food Market,Campaspe (S),Loddon-Mallee Region,144.6014151,-36.18096611
13,Churchill Island Farmers' Market,Visitor Centre,Churchill Island,3925.0,VIC,Fresh Food Market,Bass Coast (S),Gippsland Region,145.379683,-38.528213
14,City of Kingston Farmers' Market,Sir William Fry Reserve,Highett,3190.0,VIC,Fresh Food Market,Kingston (C); Bayside (C),Southern Metropolitan Region,145.038147,-37.951394
15,Collingwood Farmers' Market,Collingwood Children's Farm,Abbotsford,3067.0,VIC,Fresh Food Market,Yarra (C),North and West Metropolitan Region,144.998203,-37.803515000000004
16,Dandenong Market,Cleeland Street,Dandenong,3175.0,VIC,Fresh Food Market,Greater Dandenong (C),Southern Metropolitan Region,145.208504,-38.016114
17,Daylesford Farmers' Market,Daylesford Primary School,Daylesford,3460.0,VIC,Fresh Food Market,Hepburn (S),Grampians Region,144.144216,-37.351704
18,East Gippsland Famers' Market,Bairnsdale Secondary College Oval,Bairnsdale,3875.0,VIC,Fresh Food Market,East Gippsland (S),Gippsland Region,147.561112,-37.670456
19,Gasworks Farmer's Market,Gasworks Art Park,Albert Park,3206.0,VIC,Fresh Food Market,Port Phillip (C),Southern Metropolitan Region,144.95086,-37.846534000000005
20,Gisborne Farm and Produce Market,Hamilton Street,Gisborne,3437.0,VIC,Fresh Food Market,Macedon Ranges (S); Melton (S),Loddon-Mallee Region,144.513018,-37.501619
21,Gleadall Street Market,Gleadall Street,Richmond,3121.0,VIC,Fresh Food Market,Yarra (C),North and West Metropolitan Region,145.00178799999998,-37.823303
22,Heathmont Farmers' Market,Great Ryrie Primary School,Heathmont,3135.0,VIC,Fresh Food Market,Maroondah (C),Eastern Metropolitan Region,145.248209,-37.819594
23,Kyneton Farmers Market,St Pauls Park,Kyneton,3444.0,VIC,Fresh Food Market,Macedon Ranges (S),Loddon-Mallee Region,144.544716,-37.171788
24,Lake Boga Farmers' Market,Outside Lake Boga Yacht Club,Lake Boga,3584.0,VIC,Fresh Food Market,Swan Hill (RC),Loddon-Mallee Region,143.637617,-35.431026
25,Lancefield District Farmers' Market,Centre Plantation,Lancefield,3435.0,VIC,Fresh Food Market,Macedon Ranges (S),Loddon-Mallee Region; Hume Region,144.743358,-37.179453
26,Metung Farmers' Market,Village Green,Metung,3904.0,VIC,Fresh Food Market,East Gippsland (S),Gippsland Region,147.83936699999998,-37.881040999999996
27,Mornington Farmers' Market,Peninsula Lifestyle Centre,Mornington,3931.0,VIC,Fresh Food Market,Mornington Peninsula (S),Southern Metropolitan Region,145.04950300000002,-38.230038
28,Moyhu Farmers' Market,Cnr Whitfield-Wangaratta & Meadow Creek Roads,Moyhu,3732.0,VIC,Fresh Food Market,Wangaratta (RC),Hume Region,146.313751,-36.686814
29,Oakleigh Market,12-18 Chester Street,Oakleigh,3166.0,VIC,Fresh Food Market,Monash (C),Eastern Metropolitan Region,145.089719,-37.902805
30,Port Fairy Farmers Market,Fiddler's Green,Port Fairy,3284.0,VIC,Fresh Food Market,Moyne (S),Barwon South Western Region,142.11926599999998,-38.270398
31,Prahran Market,163 - 185 Commercial Road,South Yarra,3141.0,VIC,Fresh Food Market,Stonnington (C); Melbourne (C),Southern Metropolitan Region,144.991264,-37.840678999999994
32,Prom Country Farmers' Market,Foster War Memorial Arts Centre,Foster,3960.0,VIC,Fresh Food Market,South Gippsland (S),Gippsland Region,146.36041200000003,-39.140761
33,Slow Food Farmers' Market,Abbotsford Convent,Abbotsford,3067.0,VIC,Fresh Food Market,Yarra (C),North and West Metropolitan Region,144.998203,-37.803515000000004
34,South Gippsland Farmers' Market,Memorial Park,Koonwarra,3954.0,VIC,Fresh Food Market,South Gippsland (S),Gippsland Region,145.937973,-38.550379
35,Talbot Farmers' Market,Talbot Historic Precinct,Talbot,3371.0,VIC,Fresh Food Market,Central Goldfields (S),Loddon-Mallee Region,143.63562199999998,-37.196938
36,Tatong Farmers Market,Tatong Tavern Hotel grounds,Tatong,3673.0,VIC,Fresh Food Market,Benalla (RC),Hume Region,146.062514,-36.669928999999996
37,Templestowe Rotary Farmers Produce Market,Thompsons Road,Templestowe,3106.0,VIC,Fresh Food Market,Manningham (C),Eastern Metropolitan Region,145.142675,-37.758334999999995
38,Tolmie Farmers' Market,Tolmie Recreation Reserve,Tolmie,3723.0,VIC,Fresh Food Market,Mansfield (S),Hume Region,146.256507,-36.894465000000004
39,Traralgon Farmers' Market,Kay Street Gardens,Traralgon,3844.0,VIC,Fresh Food Market,Latrobe (C),Gippsland Region,146.607101,-38.316869
40,Veg Out St Kilda Farmers' Market,Peanut Farm Oval,St Kilda,3182.0,VIC,Fresh Food Market,Port Phillip (C),Southern Metropolitan Region,144.979478,-37.865322
41,Whitehorse Farmers' Market,Whitehorse Civic Centre,Nunawading,3131.0,VIC,Fresh Food Market,Whitehorse (C),Eastern Metropolitan Region,145.174489,-37.817797999999996
42,Aireys Inlet Farmers' Market,Aireys Inlet Community Hall,Aireys Inlet,3231.0,VIC,"Fresh Food Market,Market",Surf Coast (S),Barwon South Western Region,144.106892,-38.459435
43,Alexandra Community Produce & Craft Market,Alexandra Timber & Tramways Museum,Alexandra,3714.0,VIC,"Fresh Food Market,Market",Murrindindi (S),Hume Region,145.68788899999998,-37.210538
44,Altona Beach Market,Altona Esplanade,Altona,3018.0,VIC,"Fresh Food Market,Market",Hobsons Bay (C),North and West Metropolitan Region,144.812736,-37.86172
45,Apollo Bay Market,Apollo Bay Foreshore,Apollo Bay,3233.0,VIC,"Fresh Food Market,Market",Colac-otway,Barwon S/W,143.671777,-38.679417
46,Bass Community Market,Bass Community Centre,Bass,3991.0,VIC,"Fresh Food Market,Market",Bass Coast (S),Gippsland Region,145.466781,-38.483041
47,Bridge Street Market,1-3 Bridge Street,Bendigo,3550.0,VIC,"Fresh Food Market,Market",Greater Bendigo (C),Loddon-Mallee Region,144.285267,-36.764269
48,Ceres Organic Food & Craft Market,Ceres Community Environment Park,Brunswick East,3057.0,VIC,"Fresh Food Market,Market",Moreland,North and West Metropolitan Region,144.97728,-37.770012
49,Drouin Produce and Craft Market,Civic Park,Drouin,3818.0,VIC,"Fresh Food Market,Market",Baw Baw (S),Gippsland Region,145.86733700000002,-38.096289
50,Footscray Market,Cnr Hopkins & Leeds Streets,Footscray,3011.0,VIC,"Fresh Food Market,Market",Maribyrnong (C),North and West Metropolitan Region,144.907953,-37.807101
51,Girgarre Farmers' Produce Market,Girgarre Park,Girgarre,3624.0,VIC,"Fresh Food Market,Market",Greater Shepparton (C); Campaspe (S),Loddon-Mallee Region; Hume Region,144.96576299999998,-36.410185999999996
52,Greendale Country Market,Egans Reserve,Greendale,3341.0,Vic,"Fresh Food Market,Market",Moorabool (S),Grampians Region,144.308232,-37.573710999999996
53,Murrabit Country Market,Goon Avenue,Murrabit,3579.0,VIC,"Fresh Food Market,Market",Gannawarra (S),Loddon-Mallee Region,143.769445,-35.767974
54,Queen Victoria Market,Cnr Elizabeth & Victoria Streets,Melbourne,3000.0,VIC,"Fresh Food Market,Market",Melbourne,North and West Metropolitan Region,144.956776,-37.817403000000006
55,Red Hill Community Market,Red Hill Recreation Reserve,Red Hill,3937.0,VIC,"Fresh Food Market,Market",Mornington Peninsula (S),Southern Metropolitan Region,145.01994,-38.373694
56,Seymour Produce and Craft Market,Kings Park,Seymour,3660.0,VIC,"Fresh Food Market,Market",Murrindindi (S); Mitchell (S),Hume Region,145.257867,-37.035925
57,South Melbourne Market,322-326 Coventry Street,South Melbourne,3205.0,VIC,"Fresh Food Market,Market",Port Phillip (C); Melbourne (C),Southern Metropolitan Region; North and West Metropolitan Region,144.958176,-37.831693
58,Stawell Fair Dinkum' Farm and Craft Market,Stawell Showgrounds,Stawell,3380.0,VIC,"Fresh Food Market,Market",Northern Grampians (S),Grampians Region,142.771159,-37.0666
59,The Spa Country Market,"Victoria Park, Ballan Road",Daylesford,3460.0,VIC,"Fresh Food Market,Market",Hepburn,Grampians,144.144216,-37.351704
60,Trentham Market,Victoria Street,Trentham,3458.0,VIC,"Fresh Food Market,Market",Moorabool (S); Macedon Ranges (S); Hepburn (S),Loddon-Mallee Region; Grampians Region,144.33471,-37.424116
61,Yarra Valley Farmers' Market,Yering Station Vineyard,Yarra Glen,3775.0,VIC,"Fresh Food Market,Market",Yarra Ranges (S); Nillumbik (S),North and West Metropolitan Region; Eastern Metro,145.365993,-37.642852000000005
62,Ballan Community Market,145 Inglis Street,Ballan,3342.0,VIC,Market,Moorabool (S),Grampians Region,144.239102,-37.651463
63,Ballarat Antique Market,Antique & Collectables Centre,Ballarat,3350.0,VIC,Market,Ballarat,Grampians,143.864505,-37.571940999999995
64,Ballarat Fine Art Gallery Arts Market,Ballarat Fine Arts Gallery,Ballarat,3350.0,VIC,Market,Ballarat,Grampians,143.864505,-37.571940999999995
65,Ballarat Trash & Trivia Market,Ballarat Showgrounds,Ballarat,3350.0,VIC,Market,Ballarat,Grampians,143.864505,-37.571940999999995
66,Balnarring Racecourse Rotary Craft Market,Balnarring Racecourse,Balnarring,3926.0,VIC,Market,Mornington Peninsula,Southern Metro,145.094502,-38.355230999999996
67,Balwyn North Market,Koonung Heights Uniting Church Hall,Balwyn North,3104.0,VIC,Market,Boroondara,Eastern Metro,145.08171399999998,-37.793695
68,Barooga Lions Market,Vermont Barooga,Barooga,3644.0,VIC,Market,,,145.63268200000002,-35.945353000000004
69,Barwon Heads Market,Community Hall,Barwon Heads,3227.0,VIC,Market,Greater Geelong,Barwon S/W,144.40814,-38.263052
70,Bass Valley Lions Market,Grantville Transaction Centre,Grantville,3984.0,VIC,Market,"Bass Coast , Cardinia","Southern Metro, Gippsland",145.56397900000002,-38.312647
71,Bayles Country Market,Fauna Park,Bayles,3981.0,VIC,Market,Cardinia (S),Southern Metropolitan Region,145.575,-38.207298
72,Bayswater Market,Pine Road Carpark,Bayswater,3153.0,VIC,Market,"Maroondah , Knox",Eastern Metro,145.270141,-37.845116
73,Bealiba Counrty Market,Renshaw's Flat,Bealiba,3475.0,VIC,Market,,,143.51213,-36.70633
74,Beaufort Market,Memorial Park,Beaufort,3353.0,VIC,Market,Pyrenees,Grampians,144.83574299999998,-37.7778
75,Beechworth Country Craft Market,Queen Victoria Park,Beechworth,3747.0,VIC,Market,Indigo,Hume,146.725705,-36.361056
76,Belmont Market,Barwon Valley Activity Centre,Geelong,3220.0,VIC,Market,Greater Geelong,Barwon S/W,144.34652,-38.157038
77,Benalla Lakeside Quality Craft Market,Benalla Lake Foreshore,Benalla,3672.0,VIC,Market,Mansfield (S); Benalla (RC),Hume Region,145.97776100000002,-36.554936
78,Bendigo Market,Corner Strickland & Rohs Roads,Bendigo,3350.0,VIC,Market,Greater Bendigo,Loddon-Mallee,143.864505,-37.571940999999995
79,Bendigo Prince of Wales Showground Market,Bendigo Showgrounds,Bendigo,3350.0,VIC,Market,Greater Bendigo,Loddon-Mallee,143.864505,-37.571940999999995
80,Bentleigh Lions Craft Market,St Johns Church Hall,Bentleigh East,3165.0,VIC,Market,Glen Eira,Southern Metro,145.059426,-37.922369
81,Bentleigh Rotary Sunday Market,Railway Car Park,Bentleigh,3204.0,VIC,Market,"Kingston , Glen Eira",Southern Metro,145.036783,-37.916956
82,Berwick Akoonah Park Market,Akoonah Park (showgrounds),Berwick,3806.0,VIC,Market,Casey,Southern Metro,145.34948799999998,-38.025017999999996
83,Berwick Craft Market,Berwick Leisure Centre,Berwick,3806.0,VIC,Market,Casey,Southern Metro,145.34948799999998,-38.025017999999996
84,Birregurra Market,Main street,Birregurra,3242.0,VIC,Market,,,143.740326,-38.346703999999995
85,Bittern Country Market,Bittern Railway Station,Bittern,3918.0,VIC,Market,,,145.155546,-38.339871
86,Blackburn Station Art & Craft Market,South Parade,Blackburn,3130.0,VIC,Market,Whitehorse,Eastern Metro,145.149653,-37.81805
87,Boneo Community Market,"Boneo Recreation Reserve, ",Rosebud,3939.0,VIC,Market,Mornington Peninsula,Southern Metro,144.900413,-38.42776
88,Boronia Sunday Market,Dorset Square,Boronia,3155.0,VIC,Market,,,145.284418,-37.861799
89,Box Hill Art and Craft Market,Box Hill Mall,Box Hill,3128.0,VIC,Market,Whitehorse,Eastern Metro,145.122393,-37.828866
90,Briagolong Art and Craft Market,Briagolong Priamry School,Briagolong,3860.0,VIC,Market,Wellington,Gippsland,146.805175,-37.571707
91,Bright Craft Market,Bright Shopping Centre,Bright,3741.0,VIC,Market,Alpine,Hume,147.063163,-36.962315999999994
92,Broadford Community and High School Markets,High Street,Broadford,3658.0,VIC,Market,Mitchell,Hume,145.111854,-37.241401
93,Broadford High School Market,Broadford Historical Precinct,Broadford,3658.0,VIC,Market,Mitchell,Hume,145.111854,-37.241401
94,Bruthen Village Market,Bruthen Mechanics Hall,Bruthen,3885.0,VIC,Market,East Gippsland,Gippsland,148.06969530000003,-37.01610136
95,Bulla Hill Country Market,Bulla Hill Railway,Bulla,3428.0,VIC,Market,Hume (C),North and West Metropolitan Region,144.81149399999998,-37.591069
96,Bundoora Square Craft Market,"Bundoora Square, Plenty Road",Bundoora,3083.0,VIC,Market,"Whittlesea,Darebin,Banyule",North and West Metropolitan Region,145.056223,-37.701346
97,Buninyong Lions Club Craft Market,Town Hall,Buninyong,3357.0,VIC,Market,Ballarat,Grampians,143.88341599999998,-37.653945
98,Camberwell Sunday Market,Station Street ,Camberwell,3124.0,VIC,Market,Boroondara,Eastern Metro,145.06819099999998,-37.840866999999996
99,Camp Street Market,Mining Exchange,Ballarat,3350.0,VIC,Market,Ballarat,Grampians,143.864505,-37.571940999999995
100,Campbellfield Market,49 - 51 Cooper Street,Campbellfield,3061.0,VIC,Market,Hume,North and West Metropolitan Region,144.956763,-37.666265
101,Camperdown Rotary Craft Market,Little Manifold Street,Camperdown,3260.0,VIC,Market,Corangamite,Barwon S/W,143.244766,-38.209584
102,Camperdown Show Society Sunday Market,Camperdown Showgrounds,Camperdown,3260.0,VIC,Market,,,143.244766,-38.209584
103,Canterbury Craft Market,Burwood East Reserve,Burwood East,3151.0,VIC,Market,Whitehorse,Eastern Metro,145.151119,-37.85523
104,Caribbean Gardens Market,Ferntree Gully Road,Scoresby,3179.0,VIC,Market,Knox,Eastern Metro,145.222634,-37.897137
105,Carisbrook Market,Carisbrook Town Hall,Carisbrook,3464.0,VIC,Market,Central Goldfields,Loddon-Mallee,143.841414,-37.019811
106,Caroline Springs Community Market,Lake Street,Caroline Springs,3023.0,VIC,Market,,,144.77064099999998,-37.78272
107,Century City Walk Twilight Market,285 Springvale Road,Glen Waverley,3150.0,VIC,Market,Monash,Eastern Metro,145.168834,-37.914383
108,Chadstone Craft Market,"Lower Mall, Chadstone Shopping Centre",Chadstone,3148.0,VIC,Market,"Stonnington , Monash","Southern Metro, Eastern Metro",145.090149,-37.882562
109,Charlton Lions Club Market,St Josephs School Oval,Charlton,3525.0,VIC,Market,Buloke,Loddon-Mallee,143.364316,-36.2835
110,Chelsea Heights Pre-Loved Market,Chelsea Heights Community Centre,Chelsea Heights (Melway ref. 93 F12),3196.0,VIC,Market,Kingston,Southern Metro,145.12276200000002,-38.046479
111,Chelsea Trash & Treasure Craft Market,"Behind Council Offices, 1Station Street",Chelsea,3196.0,VIC,Market,Kingston,Southern Metro,145.12276200000002,-38.046479
112,Chelsea Trash & Treasure & Craft Market,Behind Council Offices,Chelsea,3196.0,VIC,Market,Kingston,Southern Metro,145.12276200000002,-38.046479
113,Cheltenham Rotary Market & Car Boot Sale,Undercover Car Park,Cheltenham,3192.0,VIC,Market,"Kingston , Bayside",Southern Metro,145.0623,-37.965655
114,Christmas Hills Community Market & Car Boot Sale,Christmas Hills Primary School,Christmas Hills,3775.0,VIC,Market,,,145.365993,-37.642852000000005
115,Clunes Country Market,Main Street,Clunes,3370.0,VIC,Market,Hepburn,Grampians,143.81561299999998,-37.252718
116,Cobram Lions Log Cabin Market,Punt Road,Cobram,3644.0,VIC,Market,Moira,Hume,145.63268200000002,-35.945353000000004
117,Coburg Trash & Treasure Market,Village Drive-In Theatre,Coburg,3058.0,VIC,Market,Moreland,North and West Metropolitan Region,144.964524,-37.739901
118,Colac Lions Club Sunday Market,Memorial Square,Colac,3250.0,VIC,Market,Colac-otway,Barwon S/W,143.584742,-38.311513
119,Cowes Market,Lot 59,Cowes,3922.0,VIC,Market,Bass Coast,Gippsland,145.231974,-38.482182
120,Cowrie Community Market,"Elephant Walk, Foreshore",Torquay,3228.0,VIC,Market,Surf Coast,Barwon S/W,144.299978,-38.307545000000005
121,Craigieburn Market,Craigieburn Leisure Centre Car Park,Craigieburn,3064.0,VIC,Market,Whittlesea; Hume,North and West Metropolitan Region,144.942199,-37.546521999999996
122,Creations at Canterbury Indoor Craft Market,Presbyterian Church,Canterbury,3126.0,VIC,Market,Boroondara,Eastern Metro,145.075748,-37.827203000000004
123,Creswick Market,The Mill,Creswick,3363.0,VIC,Market,,,143.88637,-37.420588
124,Croydon Market,Opposite Croydon Railway Station,Croydon,3136.0,VIC,Market,Maroondah (C),Eastern Metropolitan Region,145.282396,-37.779876
125,Dandenong Trash & Treasure Market,Cnr South Gippsland Highway and Hallam Valley Rd,Dandenong South,3175.0,VIC,Market,Greater Dandenong,Southern Metro,145.208504,-38.016114
126,Darley Market,Darley Park,Bacchus Marsh,3340.0,VIC,Market,"Wyndham , Moorabool , Melton",Grampians,144.394442,-37.787135
127,Daylesford Sunday Market,Railway Station,Daylesford,3460.0,VIC,Market,Hepburn (S),Grampians Region,144.144216,-37.351704
128,Deakin University Market,Burwood Campus,Burwood,3125.0,VIC,Market,"Whitehorse , Monash , Boroondara",Eastern Metro,145.101,-37.851304999999996
129,Dingley Village Craft Market,Dingley Village Neighbourhood Centre,Dingley Village,3172.0,VIC,Market,Greater Dandenong,Southern Metro,145.13465,-37.975981
130,Dromana Drive-In Market,Drive-In,Dromana,3936.0,VIC,Market,Mornington Peninsula,Southern Metro,145.007626,-38.326446999999995
131,Drysdale Community Market,Recreation Reserve,Drysdale,3222.0,VIC,Market,Greater Geelong,Barwon S/W,144.57298899999998,-38.209921
132,Eaglehawk Lions Lakeside Market,Lake Neangar (Napier St side),Eaglehawk,,,Market,,,144.25549,-36.7146155
133,Echuca Loco Shed Market,Aquatic Reserve,Echuca,3564.0,VIC,Market,,,144.6014151,-36.18096611
134,Eltham Community Market,Panther Place,Eltham,3095.0,VIC,Market,Nillumbik,North and West Metropolitan Region,145.158579,-37.713299
135,Elwood Market,Elwood Primary School,Elwood (Melway ref. 67 C3),3184.0,VIC,Market,Port Phillip,Southern Metro,144.984034,-37.881414
136,Emerald Art Society Market,Emerald Community Hall,Emerald,3782.0,VIC,Market,,,145.433024,-37.938068
137,Epsom Tourist Market,9km from Bendigo along Midland Highway towards Echuca,Epsom,3551.0,VIC,Market,Greater Bendigo,Loddon-Mallee,144.45793700000002,-36.78137
138,Essendon North Market,1059 Mt Alexander Road,Essendon North,3041.0,VIC,Market,Moonee Valley,North and West Metropolitan Region,144.9011039,-37.72674618
139,Federation Square Book Market,"Atrium, Federation Square",Melbourne,3000.0,VIC,Market,Melbourne,North and West Metropolitan Region,144.956776,-37.817403000000006
140,Flemington Racecourse Market,Flemington Racecourse,Flemington,3031.0,VIC,Market,Moonee Valley (C); Melbourne (C),North and West Metropolitan Region,144.923403,-37.79119
